CalfMaxGirth,AnkleMinGirth,BicepGirth,ForearmGirth,WristMinGirth,Age,Weight,Height,Gender
36.5,23.5,32.5,26,16.5,21,65.6,174,1
37.5,24.5,34.4,28,17,23,71.8,175.3,1
37.3,21.9,33.4,28.8,16.9,28,80.7,193.5,1
34.8,23,31,26.2,16.6,23,72.6,186.5,1
38.6,24.4,32,28.4,18,22,78.8,187.2,1
36.1,23.5,33,28,16.9,21,74.8,181.5,1
40.3,23.6,42.4,32.3,18.8,26,86.4,184,1
36.7,22.5,34.1,28,18,27,78.4,184.5,1
35,22,33,26,16.5,23,62,175,1
38.6,22.2,36.5,29.2,16.9,21,81.6,184,1
40.1,23.2,34.6,27.9,16.2,23,76.6,180,1
38.4,24.3,38.5,30.4,18.2,22,83.6,177.8,1
40,26,33.5,29,18,20,90,192,1
36,21.5,35.6,29,16.6,26,74.6,176,1
35,22,36,29,16.5,23,71,174,1
35.7,24,34.5,29.5,17.5,22,79.6,184,1
41.7,24.2,37,28.8,17.8,30,93.8,192.7,1
35.6,22,31.2,26.9,17.1,22,70,171.5,1
36.5,23,34.5,28.5,18.5,29,72.4,173,1
42,26.5,37,30.5,18.8,22,85.9,176,1
35.2,21,32,27.6,17.3,22,78.8,176,1
35.5,23,37,30,18,20,77.8,180.5,1
33.3,23.5,31.2,26.9,16,22,66.2,172.7,1
40.6,22.9,37,28.3,17,24,86.4,176,1
41.2,22.8,39.4,31.9,18.2,26,81.8,173.5,1
41.5,23.5,37.5,30.1,19,24,89.6,178,1
40,23.5,35.5,28.5,16.7,21,82.8,180.3,1
38.2,23.5,32.5,27.8,17.8,24,76.4,180.3,1
37.4,21.5,31.2,26.5,16.5,23,63.2,164.5,1
32.8,21,27.5,24.8,15.6,19,60.9,173,1
36.3,21,32.8,26.2,16.6,23,74.8,183.5,1
36.6,22.4,34.1,28.6,17.2,25,70,175.5,1
34.6,22.9,29.8,27,17,23,72.4,188,1
40.1,24.3,32.8,28,17.2,23,84.1,189.2,1
34.5,21.8,36.4,27.5,16.9,23,69.1,172.8,1
34.5,21.5,29,26,17,20,59.5,170,1
35.1,21,31,26.1,17,22,67.2,182,1
37.2,22.9,29.5,24.5,16,24,61.3,170,1
35.1,23,31.9,27.4,16.8,22,68.6,177.8,1
39.6,23.3,37.7,29.9,18.7,24,80.1,184.2,1
39.4,23.1,36.3,29,17.6,21,87.8,186.7,1
37.7,22.6,42.3,30.9,17.5,23,84.7,171.4,1
38.2,23.4,35.5,28.8,16.7,24,73.4,172.7,1
35.5,22.9,35.4,28.3,17,35,72.1,175.3,1
40,22.2,35.7,29.4,17.9,29,82.6,180.3,1
40.2,24.3,37.8,29.7,18.9,25,88.7,182.9,1
37.9,23.2,35,28.5,16.8,23,84.1,188,1
40.1,25.7,40.2,32.4,17.7,20,94.1,177.2,1
